symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day
COEP,2025-01-02,14:40:00,6.60,6.45,6.99,10000,14:42:00,6.45,stop,-1551.00,-2.35,3,0.1551,0.3878,2.50,1551.00,8.87,36.43,3,10174,6999,0.5216,6.21,6.36,6.60,6.68,6.49,6.60,10044,5.56,6.69,4.50,5.91,894848,48.66,68479,13.07,,4428073,310,3
PULM,2025-01-02,11:24:00,7.50,7.39,7.77,10000,11:45:00,7.39,stop,-1100.00,-1.47,8,0.1100,0.2750,2.50,1100.00,4.46,31.25,5,2354,963,0.3200,7.40,7.50,7.45,7.50,7.45,7.50,1081,6.96,7.66,6.93,7.65,76516,10.53,10822,7.07,,3628107,114,4
RVSN,2025-01-02,11:15:00,2.14,2.11,2.21,10000,11:33:00,2.11,stop,-300.00,-1.40,20,0.0300,0.0750,2.50,300.00,3.86,37.50,2,49846,23689,0.0800,2.12,2.14,2.14,2.19,2.14,2.19,13682,2.14,2.44,1.90,2.14,13590179,28.42,38927,349.12,,1772949,105,2
SPCB,2025-01-06,11:21:00,8.68,8.59,8.89,10000,11:26:00,8.59,stop,-850.00,-0.98,7,0.0850,0.2125,2.50,850.00,3.44,41.77,5,2493,808,0.2873,8.53,8.61,8.68,8.70,8.66,8.70,1971,8.91,9.44,7.56,8.50,1147708,24.87,54559,21.04,,4441995,111,4
VNCE,2025-01-06,10:38:00,4.90,4.80,5.15,10000,10:41:00,4.80,stop,-1001.00,-2.04,5,0.1001,0.2503,2.50,1001.00,10.15,40.47,4,23062,5313,0.4450,4.65,4.74,4.90,4.90,4.80,4.82,7083,4.45,4.97,4.19,4.21,509758,18.70,49082,10.39,,4690809,68,3
PTLE,2025-01-07,11:10:00,10.22,10.07,10.59,10000,11:23:00,10.59,target,3750.00,3.67,14,0.1500,0.3750,2.50,1500.00,4.55,34.09,3,6992,606,0.4400,9.96,10.10,10.22,10.22,10.17,10.19,510,9.86,11.18,9.18,11.00,749163,21.79,11132,67.30,,458102,100,2
LCFY,2025-01-08,14:45:00,8.24,8.06,8.70,10000,15:50:00,8.35,force_close,1100.00,1.33,20,0.1840,0.4600,2.50,1840.00,5.11,13.67,2,2982,265,0.3950,8.07,8.24,8.24,8.25,8.24,8.25,807,7.56,9.13,7.56,9.05,72671,20.77,52252,1.39,,1425571,315,1
PTLE,2025-01-10,10:38:00,12.99,12.74,13.62,8000,10:47:00,13.62,target,5000.00,4.81,11,0.2500,0.6250,2.50,2000.00,10.20,43.92,2,4820,1936,1.2303,12.75,12.99,12.75,13.19,12.75,13.01,2548,12.06,13.98,11.70,12.32,1796544,19.48,11132,161.39,,458102,68,1
SPCB,2025-01-10,10:53:00,8.46,8.30,8.88,10000,11:04:00,8.88,target,4120.00,4.87,6,0.1648,0.4120,2.50,1648.00,4.31,45.71,4,1095,620,0.3500,8.31,8.46,8.38,8.56,8.38,8.49,14365,8.14,10.05,8.09,9.74,614303,24.23,54559,11.26,,4441995,83,3
STFS,2025-01-10,10:39:00,11.71,11.60,11.98,10000,10:43:00,11.60,stop,-1100.00,-0.94,5,0.1100,0.2750,2.50,1100.00,4.57,3.98,2,1694,1612,0.5025,11.48,11.58,11.71,11.71,11.56,11.56,939,10.34,12.81,10.34,12.29,244660,23.89,119165,2.05,,150730,69,1
